Uniq Id,Crawl Timestamp,Product Url,Product Name,Description,List Price,Sale Price,Brand,Item Number,Gtin,Package Size,Category,Postal Code,Available
f707c5776d0818126a36b3d3f14d7f6a,2019-03-17 07:42:16 +0000,https://www.walmart.com/ip/Compatible-1988-1993-Pontiac-LeMans-Fog-Light-Lens-Left-Driver-Side-16502945-GM2596101-Replacement-For-Pontiac-LeMans/196093753,Compatible 1988 - 1993 Pontiac LeMans Fog Light Lens - Left (Driver) Side 16502945 GM2596101 Replacement For Pontiac LeMans,"High-Quality TYC/DEPO-brand item; with Reflector; OEM #16502945 FITS: 1988 LeMans Base Sedan 1.6L L4 1988-1993 LeMans SE Sedan 1.6L L4 1988-1993 LeMans Value Leader Hatchback 1.6L L4 1988 LeMans Aerocoupe Hatchback 1.6L L4 1988 LeMans Aerocoupe YL Hatchback 1.6L L4 1989 LeMans LE Sedan 2.0L L4, 1.6L L4 1989 LeMans SE Sedan 2.0L L4 1989 LeMans LE Hatchback 2.0L L4, 1.6L L4 1989-1990 LeMans GSE Hatchback 2.0L L4 1990-1992 LeMans LE Sedan 1.6L L4 1990-1992 LeMans LE Hatchback 1.6L L4 1992-1993 LeMans SE Hatchback 1.6L L4 NOTES Alternative Part #s: Keystone: GM2596101 PerfectFit: C107902 DEPO: 335-2003N-ASN TYC: 19-5333-70 Fits Years: 1988 88 1989 89 1990 90 1991 91 1992 92 1993 93 Fits Engines: 1.6L L4 2.0L L4, 1.6L L4 2.0L L4 Partslink Number: GM2596101 OEM Number: 16502945 PART INFO ✔ Every light complies with U.S. Motor Vehicle Safety Standards (FMVSS-108) ✔ OEM design, guaranteed to fit just like original equipment ✔ ISTA certified packaging to eliminate shipping damage ✔ Direct bolt-on design - easy &amp; convenient installation ✔ All lights are brand new aftermarket products ✔ Meets and exceeds OEM specifications ✔ All lights are DOT/SAE certified ✔ VTF (Vehicle Test Fit) |Go-Parts Lifetime Warranty Meets or Exceeds all government safety standards requirements Meets or Exceeds OEM Dealer Quality: high quality and guaranteed to fit Other Part #s: 5976643,GM2520109,GM2520109V,12-1248-01,GM267-U000L,332-1627L-US,12-1248-01",45.95,45.95,Go-Parts,"",799193152947,"",Auto & Tires|Automotive Replacement Parts|Car Lighting|Shop By Light Type,,FALSE
95ed787e89bd1c2b536a8585510a2f73,2019-03-17 08:29:29 +0000,https://www.walmart.com/ip/14k-White-Gold-Diamond-Double-Heart-Pendant-04-dwt/111924755,14k White Gold Diamond Double Heart Pendant - .04 dwt,14k White Gold Diamond Double Heart Pendant - .04 Carat Diamond Weight in 14k White Gold - FREE gift-ready jewelry box - This Item Does Not Ship With a Chain- Polished -- Open back -- Diamond -- Chain slide -- Hidden bail -|-14k White Gold Diamond Double Heart Pendant .04 dwt-Unconditional 30 days full money back guarantee-All items are backed by our Two Year Free Repair Policy,154.2,154.2,JewelryWeb,"",190772364513,"",Jewelry & Watches|Womens Jewelry & Watches|Womens Jewelry|Fine Jewelry|All Fine Jewelry,,FALSE
40ede783dd78605f2c563b3ee60a7a93,2019-03-17 07:02:01 +0000,https://www.walmart.com/ip/Multi-Surface-Painting-Tape-Blue-1-1-2-in-x-60-yd-64-Rolls/132075742,"Adhesive Blue Painter Masking Tape 5.6 Mil Thick 1 1/2"" x 60 Yards Usable for all Surface 64 Rolls","Masking Tape: Masking tape is low adhesive tape, primarily used in the painting industry. The low adhesive allows this tape to easily be removed once a job is complete and leaves no residue or damage behind. It is very easy to tear and comes in a variety of sizes, useful for even the most intricate of jobs. Blue Painters Tape: Blue painters tape is designed to protect wood, metal and glass during the painting process. It is water, oil and UV resistant and can withstand paint bleeding, helping to achieve a clean and professional look. Easy to use and tear, this tape can be applied to any surface needing protection before the painting takes place. Once finished, this is easily removable and leaves no residue or damage to where it was applied. DISCLAIMER: ALL PICTURES SHOWN ARE FOR ILLUSTRATION PURPOSE ONLY. ACTUAL PRODUCT MAY VARY DUE TO PRODUCT ENHANCEMENT.| Pacakge Type: 64 Rolls = 2 Cases. Blue Color; Total Thickness: 5.6 Mil. Clean Removal for up to 21 Days; Durable and lightweight. Commonly used on Drywall, Glass, Hardwood Floors and Wood Trim. Able to withstand the “bleed” during painting; Unwinds Smoothly. Standard 3” core diameter - common size for most tape dispensers. High Performance Masking Tape that doesn’t Dry Out or Lose it’s Holding Power. ",234.95,199.71,PackagingSuppliesByMail,"",640791636141,"",Home Improvement|Paint|Paint Tools and Supplies|Painter's Tape,,TRUE
b5f44e518b12cc77fe19e6091a487101,2019-03-17 07:34:40 +0000,https://www.walmart.com/ip/Cycle-Pirates-Chrome-Cast-Switch-Housing-Left-SCP-L/104453747,Cycle Pirates Chrome Cast Switch Housing Left SCP-L,"Add that extra little bling to get your bike more attention. Four possible combinations to fit many models and years Easy installation, no rewiring or loss of switch functions like others on the market |Cycle Pirates Chrome Cast Switch Housing Left SCP-L",59.95,59.95,Cycle Pirates,"",633835779256,"","",,TRUE
a59dd2d01e705d12151c551582895717,2019-03-17 07:37:29 +0000,https://www.walmart.com/ip/Suspension-Control-Arm-Rear-Lower-MOOG-RK642963/726480141,Suspension Control Arm Rear Lower MOOG RK642963,Suspension Control Arm Rear Lower MOOG RK642963| Easy to install Restores like-new steering and handling OE fit and form geometry and alignment Construction and design validated by Moog engineers Broad coverage for foreign and domestic applications ,110.18,110.18,MOOG,"",080066087139,"",Auto & Tires|Automotive Replacement Parts|Replacement Auto Parts,,TRUE
2cea676d8828e6e5766a9c7eea73fb49,2019-03-17 08:33:46 +0000,https://www.walmart.com/ip/Men-s-Big-Tall-Harbor-Bay-Space-Dye-Piqu-Polo-Shirt/377296247,Men's Big & Tall Harbor Bay Space-Dye Piqué Polo Shirt,The classic piqu&eacute; polo is updated with a cleaner fit and a hip space-dyed color technique. Try layering this cotton shirt under a sport coat with dark wash jeans for a put-together date night look.100% cotton piqu&eacute;Ribbed-knit collar2-button placketChest pocketShort sleeves; ribbed-knit armbandsTennistail hem Machine wash; imported|Men's Big &amp; Tall Harbor Bay Space-Dye Pocket Piqu&eacute; Polo Shirt,35,35,Harbor Bay,"",025416969192,clothing_size-5xlt,Clothing|Big & Tall|Mens Big & Tall Polos,,TRUE
3bc89da8ce394688df22fcfd42471027,2019-03-17 08:33:46 +0000,https://www.walmart.com/ip/Men-s-Big-Tall-Harbor-Bay-Space-Dye-Piqu-Polo-Shirt/377296247,Men's Big & Tall Harbor Bay Space-Dye Piqué Polo Shirt,The classic piqu&eacute; polo is updated with a cleaner fit and a hip space-dyed color technique. Try layering this cotton shirt under a sport coat with dark wash jeans for a put-together date night look.100% cotton piqu&eacute;Ribbed-knit collar2-button placketChest pocketShort sleeves; ribbed-knit armbandsTennistail hem Machine wash; imported|Men's Big &amp; Tall Harbor Bay Space-Dye Pocket Piqu&eacute; Polo Shirt,35,35,Harbor Bay,"",025416969130,clothing_size-6xl,Clothing|Big & Tall|Mens Big & Tall Polos,,TRUE
8cf50c3d66a3a65afa9049d0ec654755,2019-03-17 08:33:46 +0000,https://www.walmart.com/ip/Men-s-Big-Tall-Harbor-Bay-Space-Dye-Piqu-Polo-Shirt/377296247,Men's Big & Tall Harbor Bay Space-Dye Piqué Polo Shirt,The classic piqu&eacute; polo is updated with a cleaner fit and a hip space-dyed color technique. Try layering this cotton shirt under a sport coat with dark wash jeans for a put-together date night look.100% cotton piqu&eacute;Ribbed-knit collar2-button placketChest pocketShort sleeves; ribbed-knit armbandsTennistail hem Machine wash; imported|Men's Big &amp; Tall Harbor Bay Space-Dye Pocket Piqu&eacute; Polo Shirt,35,35,Harbor Bay,"",025416969093,clothing_size-2xl,Clothing|Big & Tall|Mens Big & Tall Polos,,TRUE
28d4128c37791345ec26c0664fa9f4da,2019-03-17 08:33:46 +0000,https://www.walmart.com/ip/Men-s-Big-Tall-Harbor-Bay-Space-Dye-Piqu-Polo-Shirt/377296247,Men's Big & Tall Harbor Bay Space-Dye Piqué Polo Shirt,The classic piqu&eacute; polo is updated with a cleaner fit and a hip space-dyed color technique. Try layering this cotton shirt under a sport coat with dark wash jeans for a put-together date night look.100% cotton piqu&eacute;Ribbed-knit collar2-button placketChest pocketShort sleeves; ribbed-knit armbandsTennistail hem Machine wash; imported|Men's Big &amp; Tall Harbor Bay Space-Dye Pocket Piqu&eacute; Polo Shirt,35,35,Harbor Bay,"",025416969178,clothing_size-3xlt,Clothing|Big & Tall|Mens Big & Tall Polos,,TRUE
ab3cb88de52ef0c0cc37adfbfe4f10ba,2019-03-17 08:33:46 +0000,https://www.walmart.com/ip/Men-s-Big-Tall-Harbor-Bay-Space-Dye-Piqu-Polo-Shirt/377296247,Men's Big & Tall Harbor Bay Space-Dye Piqué Polo Shirt,The classic piqu&eacute; polo is updated with a cleaner fit and a hip space-dyed color technique. Try layering this cotton shirt under a sport coat with dark wash jeans for a put-together date night look.100% cotton piqu&eacute;Ribbed-knit collar2-button placketChest pocketShort sleeves; ribbed-knit armbandsTennistail hem Machine wash; imported|Men's Big &amp; Tall Harbor Bay Space-Dye Pocket Piqu&eacute; Polo Shirt,35,35,Harbor Bay,"",887125827411,clothing_size-xlt,Clothing|Big & Tall|Mens Big & Tall Polos,,TRUE
